idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
(your) heart is in the right place	["If%20your%20heart%20is%20in%20the%20right%20place%2C%20you%20try%20to%20do%20the%20right%20thing%2C%20even%20if%20things%20don%27t%20always%20work%20out%20for%20the%20best.",""]	["His%20heart%20was%20in%20the%20right%20place%20when%20he%20raised%20everyone%27s%20salaries%2C%20but%20in%20the%20end%20it%20meant%20some%20people%20lost%20their%20jobs.","Bill%27s%20heart%27s%20in%20the%20right%20place%2C%20and%20he%20means%20well%2C%20but%20he%20sometimes%20upsets%20people%20by%20being%20too%20direct%20when%20he%20speaks."]				body,h	(your) heart is in the right place
(your) heart isn't in it	["If%20your%20heart%20isn%27t%20in%20something%20you%27re%20doing%2C%20you%20don%27t%20really%20want%20to%20do%20it.",""]	["Ali%20was%20studying%20to%20be%20a%20doctor%2C%20but%20his%20heart%20wasn%27t%20in%20it%20so%20he%20decided%20to%20follow%20his%20real%20dream%20and%20study%20film-making%20instead.","We%20could%20tell%20that%20Sally%27s%20heart%20wasn%27t%20in%20it%20when%20she%20tried%20singing%20jazz%2C%20so%20we%20said%20she%20should%20stick%20to%20pop%20songs."]				body,h	(your) heart isn't in it
A bad break	["%20A%20misfortune.%20","%20A%20serious%20bone%20fracture."]	["%20Tony%20has%20lost%20his%20job%2C%20just%20when%20he%20needed%20the%20cash%20to%20move%20house.%20That%E2%80%99s%20a%20bad%20break.%20","%20Tanya%E2%80%99s%20leg%20was%20crushed%20when%20the%20rock%20fell%20on%20it%20-%20a%20really%20bad%20break%20the%20doctor%20said."]	1. USA 2. UK.	1. USA. 2. Widely used.	https://www.phrases.org.uk/idioms/audio/a-bad-break.mp3	the_human_body,medical,misfortune	a bad break
A bad hair day	["A%20day%20on%20which%20everything%20seems%20to%20go%20wrong.","If%20you%27re%20having%20a%20bad%20hair%20day%2C%20everything%20seems%20to%20be%20going%20wrong%20for%20you."]	["I%20missed%20the%20bus%20and%20was%20late%20on%20the%20one%20day%20the%20boss%20was%20early%20and%20now%20I%E2%80%99ve%20laddered%20my%20tights%21%20-%20talk%20about%20a%20bad%20hair%20day.","Poor%20Sue%27s%20in%20a%20terrible%20mood.%20I%20think%20she%27s%20having%20a%20bad%20hair%20day.","I%20knew%20it%20was%20going%20to%20be%20a%20bad%20hair%20day%20when%20my%20car%20wouldn%27t%20start."]	USA.	Predominantly in the USA but also more widely.	https://www.phrases.org.uk/idioms/audio/a-bad-hair-day.mp3	the_human_body,hair,emotion,misfortune,america,b,body	a bad hair day
A bad workman always blames his tools	["A%20proverb%20that%20suggests%20a%20poor%20workman%20tends%20to%20look%20for%20an%20excuse%20for%20his%20poor%20work."]	["It%20was%20really%20Andy%E2%80%99s%20fault%20that%20the%20wall%20he%20built%20fell%20down%20but%20he%20tried%20to%20claim%20that%20the%20cement%20mixer%20was%20faulty."]	The expression is found in British collections of proverbs from the 16th century.	Worldwide, but less commonly than 50 years ago.	https://www.phrases.org.uk/idioms/audio/a-bad-workman-always-blames-his-tools.mp3	work,proverbial,aphorism	a bad workman always blames his tools
a bag of tricks	["Someone%27s%20bag%20of%20tricks%20is%20their%20collection%20of%20techniques%20or%20methods%20for%20getting%20a%20job%20done%20or%20for%20achieving%20a%20goal.",""]	["I%20wonder%20what%20the%20Democrats%20will%20pull%20out%20of%20their%20bag%20of%20tricks%20to%20win%20the%20election%20this%20time.","Most%20English%20teachers%20are%20always%20looking%20for%20new%20games%20and%20activities%20to%20add%20to%20their%20bag%20of%20tricks."]				b	a bag of tricks
a ballpark figure | a ballpark estimate	["If%20you%20give%20a%20ballpark%20figure%20or%20a%20ballpark%20estimate%2C%20you%20give%20a%20number%20which%20you%20think%20is%20fairly%20close%20to%20the%20actual%20one.",""]	["We%20don%27t%20know%20the%20exact%20cost%2C%20but%20a%20ballpark%20figure%20would%20be%20around%20six%20million%20dollars.","I%20know%20you%20can%27t%20tell%20me%20exactly%20when%20it%27ll%20be%20finished%2C%20but%20can%20you%20give%20me%20a%20ballpark%20estimate%3F"]	From baseball, and probably having a history similar to that of the idiom "in the same ballpark" which means "approximately the same amount".			american,b,money,numbers,sports,structures	a ballpark figure,a ballpark estimate
A big ask	["A%20favour%20which%20is%20a%20lot%20to%20ask%20of%20someone."]	["Tod%20had%20only%20just%20got%20home%20from%20his%20overnight%20flight%20when%20his%20boss%20told%20him%20to%20get%20back%20to%20the%20airport%20and%20fly%20to%20Sydney.%20That%20was%20a%20big%20ask."]	Australia.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-big-ask.mp3	excess,effort,australian_origin	a big ask
A bigger bang for your buck	["Better%20value%20for%20your%20money."]	["Those%20Chinese%20fireworks%20are%20so%20cheap.%20We%20literally%20get%20a%20bigger%20bang%20for%20our%20buck."]	USA.	Worldwide, but overused to the point of cliche.	https://www.phrases.org.uk/idioms/audio/a-bigger-bang-for-your-buck.mp3	money,cliche,america	a bigger bang for your buck
A bird in the hand is worth two in the bush	["It%E2%80%99s%20better%20to%20have%20a%20lesser%20but%20certain%20advantage%20than%20the%20possibility%20of%20a%20greater%20one%20that%20may%20come%20to%20nothing."]	["The%20questions%20in%20the%20final%20round%20looked%20hard%20so%20we%20opted%20out%20of%20the%20big%20prize%20and%20took%20the%20smaller%20%24","second%20prize.%20A%20bird%20in%20the%20hand%20is%20worth%20two%20in%20the%20bush%20you%20know."]	The United Kingdom.	One of the most widely used proverbs throughout the English-speaking world.	https://www.phrases.org.uk/idioms/audio/a-bird-in-the-hand-is-worth-two-in-the-bush.mp3	animals,proverbial,nature,risk	a bird in the hand is worth two in the bush
A bite to eat	["A%20small%20meal%2C%20possibly%20taken%20quickly%20when%20time%20is%20short."]	["We%20won%E2%80%99t%20have%20time%20for%20a%20meal%20after%20the%20concert%20finishes%20so%20let%E2%80%99s%20get%20a%20bite%20to%20eat%20now%20before%20we%20go%20in."]	The United Kingdom.	Mostly the UK, but elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bite-to-eat.mp3	food	a bite to eat
A blessing in disguise	["An%20apparent%20misfortune%20that%20works%20to%20the%20eventual%20benefit%20of%20the%20recipient.","You%20can%20say%20something%20is%20a%20blessing%20in%20disguise%20if%20it%20appears%20to%20be%20bad%20at%20first%2C%20but%20it%20results%20in%20something%20very%20good%20in%20the%20end."]	["Breaking%20my%20arm%20was%20a%20blessing%20in%20disguise.%20I%20married%20the%20nurse.","Being%20caught%20in%20that%20traffic%20jam%20was%20a%20blessing%20in%20disguise.%20If%20I%20hadn%27t%20missed%20the%20flight%2C%20I%20would%20have%20been%20on%20that%20plane%20when%20it%20crashed.","His%20accident%20was%20a%20blessing%20in%20disguise%20because%20it%20gave%20him%20lots%20of%20time%20to%20think%20about%20his%20life%20while%20he%20was%20recovering%2C%20and%20as%20a%20result%20he%20made%20some%20important%20changes%20that%20improved%20his%20life."]	The United Kingdom.	Widely used.	https://www.phrases.org.uk/idioms/audio/a-blessing-in-disguise.mp3	luck,happiness,b	a blessing in disguise
A bull and cow	["Cockney%20rhyming%20slang%20for%20a%20row%20or%20argument."]	["They%20were%20shouting%20and%20screaming%20at%20each%20other%20-%20a%20real%20bull%20and%20cow."]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bull-and-cow.mp3	conflict,cockney_rhyming_slang,animals	a bull and cow
A bunch of fives	["A%20fist%2C%20as%20used%20in%20a%20fight."]	["Punch%20me%20would%20you%3F%20How%E2%80%99d%20you%20like%20a%20bunch%20of%20fives%20in%20your%20eye%3F"]	The United Kingdom.	Mostly in the UK, but occasionally elsewhere too.	https://www.phrases.org.uk/idioms/audio/a-bunch-of-fives.mp3	conflict,the_human_body,slang	a bunch of fives
a chip off the old block	["Someone%20can%20be%20described%20as%20a%20chip%20off%20the%20old%20block%20if%20they%20are%20very%20similar%20in%20character%20to%20one%20of%20their%20parents%2C%20usually%20their%20father.",""]	["Everyone%20says%20I%27m%20a%20chip%20off%20the%20old%20block%2C%20but%20I%20think%20I%27m%20very%20different%20to%20my%20dad.","Jenny%27s%20a%20real%20chip%20off%20the%20old%20block.%20She%20must%20have%20been%20very%20close%20to%20her%20father%20when%20she%20was%20young."]				c	a chip off the old block
A chip on your shoulder	["A%20sense%20of%20inferiority%20characterized%20by%20a%20quickness%20to%20take%20offence."]	["He%E2%80%99s%20the%20only%20cabinet%20minister%20that%20didn%E2%80%99t%20go%20to%20Eton%20and%20it%E2%80%99s%20given%20him%20a%20bit%20of%20a%20chip%20on%20his%20shoulder."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-chip-on-your-shoulder.mp3	the_human_body,emotion,america	a chip on your shoulder
a couch potato	["You%20can%20say%20someone%27s%20a%20couch%20potato%20if%20they%27re%20very%20lazy%20and%20they%20spend%20a%20lot%20of%20time%20sitting%20around%20watching%20TV%20and%20eating%20junk%20food.",""]	["Since%20he%20lost%20his%20job%2C%20Marty%20has%20become%20a%20couch%20potato.","How%20can%20you%20expect%20to%20feel%20good%20and%20look%20good%20if%20you%27re%20a%20couch%20potato%3F%20If%20you%20turn%20off%20the%20TV%2C%20get%20some%20exercise%2C%20and%20eat%20healthy%20food%2C%20you%27ll%20soon%20look%20good%20and%20feel%20great."]				c,food	a couch potato
A diamond in the rough (a.k.a rough diamond )	["A%20person%20or%20thing%20having%20good%20underlying%20qualities%20while%20appearing%20to%20be%20coarse%20and%20unpolished."]	["He%E2%80%99d%20been%20in%20jail%20several%20times%20for%20fraud%20but%20when%20he%20found%20my%20lost%20wallet%20he%20returned%20it.%20A%20rough%20diamond%20if%20there%20ever%20was%20one."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-diamond-in-the-rough.mp3	crime	a diamond in the rough
A dime a dozen	["So%20commonplace%20as%20to%20be%20of%20little%20consequence."]	["Red%20buses%20in%20London.%20they%E2%80%99re%20a%20dime%20a%20dozen."]	USA.	Worldwide.		money,number,america	a dime a dozen
a done deal	["A%20done%20deal%20is%20an%20agreement%20or%20a%20decision%20that%20is%20final.",""]	["It%27s%20a%20done%20deal%20so%20we%20can%20go%20ahead%20and%20start%20planning%20the%20details.","No-one%20knew%20about%20it%2C%20but%20the%20contract%20has%20been%20a%20done%20deal%20since%20the%20senator%20spoke%20to%20the%20minister%20last%20month."]				american,d	a done deal
A doubting Thomas	["A%20sceptic%20who%20won%E2%80%99t%20accept%20a%20widely%20believed%20truth%20until%20seeing%20the%20evidence%20in%20person."]	["I%20told%20him%20he%20would%20need%20a%20raincoat%20but%2C%20doubting%20Thomas%20that%20he%20his%2C%20he%20had%20to%20check%20the%20forecast%20for%20himself."]	From the Biblical story of Thomas, the apostle who doubted Jesus' resurrection.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-doubting-thomas.mp3	religion,name	a doubting thomas
A drop in the bucket (or ocean)	["A%20very%20small%20part%20of%20a%20bigger%20whole.","If%20an%20amount%20is%20a%20drop%20in%20the%20bucket%2C%20it%27s%20a%20very%20small%20portion%20of%20the%20amount%20that%27s%20needed."]	["The%20country%E2%80%99s%20debt%20has%20risen%20to%20a%20trillion%20pounds.%20Paying%20off%20a%20billion%20is%20just%20a%20drop%20in%20the%20bucket.","Our%20government%27s%20sending%20a%20thousand%20tons%20of%20food%2C%20but%20that%27s%20just%20a%20drop%20in%20the%20bucket%20compared%20to%20what%27s%20needed.","I%20know%20twenty%20dollars%20is%20just%20a%20drop%20in%20the%20bucket%2C%20but%20if%20everyone%20gave%20that%20much%20it%27d%20make%20a%20big%20difference."]	The Bible.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-drop-in-the-bucket.mp3	household_items,biblical,american,d	a drop in the bucket
a drop in the ocean	["If%20an%20amount%20is%20a%20drop%20in%20the%20ocean%2C%20it%27s%20a%20very%20small%20portion%20of%20the%20amount%20that%27s%20needed.",""]	["Our%20government%27s%20sending%20a%20thousand%20tons%20of%20food%2C%20but%20that%27s%20just%20a%20drop%20in%20the%20ocean%20compared%20to%20what%27s%20needed.","I%20know%20twenty%20dollars%20is%20just%20a%20drop%20in%20the%20ocean%2C%20but%20if%20everyone%20gave%20that%20much%20it%27d%20make%20a%20big%20difference."]				british,d,nature	a drop in the ocean
a fair-weather friend	["A%20fair-weather%20friend%20is%20a%20person%20who%20will%20only%20be%20your%20friend%20when%20things%20are%20going%20well%20for%20you.",""]	["I%20had%20lots%20of%20friends%20when%20I%20was%20rich%20and%20successful%2C%20but%20when%20the%20money%20was%20gone%20it%20became%20clear%20that%20most%20were%20only%20fair-weather%20friends.","Would%20she%20still%20want%20to%20know%20you%20if%20you%20were%20sick%20or%20in%20trouble%2C%20or%20is%20she%20just%20one%20of%20those%20fair-weather%20friends%3F"]				f,weather	a fair-weather friend
a fait accompli	["If%20something%20is%20a%20fait%20accompli%2C%20it%20is%20certain%20to%20happen.",""]	["We%20know%20the%20judge%20in%20this%20case%20has%20been%20paid%20off%20by%20the%20defendant%2C%20so%20the%20verdict%20is%20a%20fait%20accompli.","People%20are%20acting%20as%20if%20the%20result%20of%20tomorrow%27s%20election%20is%20a%20fait%20accompli%2C%20but%20do%20you%20really%20think%20it%27s%20already%20decided%3F"]	"Fait accompli" is one of many French words and phrases that have been "borrowed" by English. A direct translation would be "an accomplished fact".			f	a fait accompli
A fate worse than death	["The%20reputed%20opinion%20of%20sexual%20intercourse%20by%20prim%20Victorian%20ladies."]	["Lord%20Carruthers%20dragged%20me%20to%20his%20bedroom%20and%20left%20me%20in%20no%20doubt%20I%20was%20to%20suffer%20a%20fate%20worse%20than%20death."]	The United Kingdom.	Worldwide, but now considered rather old-fashioned and used mainly by the older generation.	https://www.phrases.org.uk/idioms/audio/a-fate-worse-than-death.mp3	sex,death,euphemism,hyperbole	a fate worse than death
A feather in one's cap	["A%20symbol%20of%20achievement."]	["Getting%20nominated%20for%20an%20Oscar%20is%20the%20biggest%20feather%20in%20a%20film%20actor%E2%80%99s%20cap."]	The United Kingdom.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-feather-in-ones-cap.mp3	clothes	a feather in one's cap
A fish out of water	["Someone%20in%20an%20unfamiliar%20circumstance."]	["He%E2%80%99s%20a%20fine%20golfer%20but%20in%20this%20dance%20competition%20he%E2%80%99s%20a%20fish%20out%20of%20water."]	The United Kingdom - 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-fish-out-of-water.mp3	animals	a fish out of water
A flash in the pan	["Something%20that%20fails%20to%20deliver%20long-term%20benefit%20after%20an%20initial%20success.","You%20can%20say%20something%20or%20someone%20is%20a%20flash%20in%20the%20pan%20if%20they%27re%20popular%20or%20effective%20for%20a%20short%20time%20only."]	["Ricky%20Valance%20was%20a%20one-hit%20wonder.%20Pretty%20much%20a%20flash%20in%20the%20pan%20you%20might%20say.","Her%20first%20song%20was%20a%20big%20hit%2C%20but%20when%20Debbie%27s%20next%20song%20didn%27t%20do%20so%20well%20people%20started%20calling%20her%20a%20flash%20in%20the%20pan.","Dave%20says%20he%20doesn%27t%20mind%20being%20called%20a%20flash%20in%20the%20pan%20because%20he%20still%20gets%20money%20for%20the%20book%20he%20wrote%2C%20even%20though%20he%20never%20wrote%20another%20one."]	The United Kingdom - 17th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-flash-in-the-pan.mp3	household_items,f,food	a flash in the pan
A fly in the ointment	["A%20small%20flaw%20that%20spoils%20the%20whole."]	["It%20was%20good%20to%20win%20the%20gold%20but%20not%20being%20able%20to%20attend%20the%20ceremony%20to%20collect%20it%20was%20the%20fly%20in%20the%20ointment."]	The Bible.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-fly-in-the-ointment.mp3	animals,biblical	a fly in the ointment
A fly on the wall	["%20An%20unperceived%20observer%20-%20able%20to%20see%20and%20hear%20but%20not%20be%20seen%20or%20heard.%20","-%20A%20form%20of%20cinema%20in%20which%20events%20are%20recorded%20without%20direction."]	["-%20I%20wish%20I%20could%20have%20been%20a%20fly%20on%20the%20wall%20when%20Putin%20met%20Obama.%20","-%20These%20reality%20shows%20are%20just%20the%20same%20as%20the%20old%20fly-on-the-wall%20documentaries."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-fly-on-the-wall.mp3	animals,america	a fly on the wall
A fool's paradise	["A%20state%20of%20euphoria%20with%20no%20basis%20in%20reality."]	["He%20thinks%20he%20is%20going%20to%20get%20the%20top%20job%20but%20there%E2%80%99s%20no%20chance%20of%20that.%20He%E2%80%99s%20just%20living%20in%20a%20fool%E2%80%99s%20paradise."]	The United Kingdom - 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-fools-paradise.mp3	shakespeare,stupidity	a fool's paradise
A fool and his money are soon parted	["A%20foolish%20person%20is%20very%20likely%20to%20lose%20his%20money."]	["He%E2%80%99s%20off%20to%20the%20casino%20again%20-%20%E2%80%99a%20fool%20and%20his%20money...%E2%80%99%20I%20say."]	The United Kingdom - 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-fool-and-his-money-are-soon-parted.mp3	money,proverbial,stupidity,aphorism	a fool and his money are soon parted
A foot in the door	["An%20initial%20inroad%20that%20may%20lead%20to%20greater%20influence%20in%20future."]	["I%20convinced%20them%20to%20start%20displaying%20my%20artwork.%20I%E2%80%99m%20making%20a%20loss%20on%20it%20but%20it%E2%80%99s%20a%20foot%20in%20the%20door."]	USA.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-foot-in-the-door.mp3	the_human_body,household_items,america	a foot in the door
a foregone conclusion	["You%20can%20say%20the%20result%20of%20something%20is%20a%20foregone%20conclusion%20if%20everyone%20knows%20what%20it%27s%20going%20to%20be%20before%20it%20happens.",""]	["Everyone%20thinks%20it%27s%20a%20foregone%20conclusion%20that%20Roger%20will%20win%2C%20but%20I%27m%20not%20so%20sure.","The%20result%20of%20the%20election%20is%20a%20foregone%20conclusion%20thanks%20to%20the%20government%27s%20control%20of%20vote%20counting."]				f	a foregone conclusion
A golden key can open any door	["Money%20always%20has%20a%20telling%20influence."]	["He%E2%80%99s%20not%20really%20good%20enough%20to%20be%20an%20F","driver%20but%20he%20got%20in%20the%20team%20because%20he%20brought%20a%20major%20sponsorship%20deal%20with%20him.%20As%20they%20say%2C%20a%20golden%20key%20can%20open%20any%20door."]	The United Kingdom.	Worldwide, but somewhat uncommon.	https://www.phrases.org.uk/idioms/audio/a-golden-key-can-open-any-door.mp3	money,proverbial,adage	a golden key can open any door
a gut feeling	["If%20you%20have%20a%20gut%20feeling%2C%20you%20sense%20something%20about%20a%20person%20or%20a%20situation%2C%20without%20knowing%20why%2C%20but%20you%27re%20sure%20what%20you%20sense%20is%20true.",""]	["As%20soon%20as%20I%20came%20into%20the%20room%20I%20had%20a%20gut%20feeling%20that%20something%20was%20wrong%20-%20and%20then%20I%20saw%20the%20dead%20body.","Chaz%20said%20his%20gut%20feeling%20was%20that%20Laura%20was%20lying%20and%2C%20sure%20enough%2C%20she%20was."]	Probably derived from the fact that many people experience emotions and intuitive feelings as being centred on, or having a strong effect on, the stomach area, which is also called the gut. Interestingly, the nervous system's second biggest network of closely-interconnected neurones, after the brain, is located in this area of the body.			body,g	a gut feeling
a head start	["If%20you%20have%20a%20head%20start%2C%20you%20start%20something%20ahead%20of%20others%20or%20with%20an%20advantage%20over%20others.",""]	["If%20you%27re%20born%20into%20a%20rich%20family%2C%20and%20you%27ve%20had%20a%20good%20education%2C%20you%27re%20lucky%20enough%20to%20have%20had%20a%20head%20start%20in%20life%2C%20so%20don%27t%20waste%20it.","Marylin%27s%20beauty%20and%20natural%20grace%20gave%20her%20a%20big%20head%20start%20in%20the%20modelling%20and%20acting%20business."]				body,h	a head start
a hidden agenda	["If%20someone%20has%20a%20hidden%20agenda%2C%20they%20have%20a%20secret%20plan%20or%20motive%20for%20doing%20something.",""]	["Some%20people%20claim%20that%20the%20U.S.%20had%20a%20hidden%20agenda%20in%20Iraq%2C%20and%20that%20it%20had%20something%20to%20do%20with%20oil.","Lydia%20says%20that%20the%20girl%27s%20hidden%20agenda%20is%20to%20make%20Don%20fall%20in%20love%20and%20marry%20her%20so%20that%20she%20can%20get%20his%20money."]				h	a hidden agenda
A hot potato	["A%20current%20issue%20which%20many%20people%20are%20talking%20about%20and%20which%20is%20controversial."]	["The%20bombing%20of%20Syria%20is%20a%20political%20hot%20potato."]	The United Kingdom. Derives from the literal sense that a hot potato is difficult to hold.	Worldwide.	https://www.phrases.org.uk/idioms/audio/a-hot-potato.mp3	food	a hot potato
A house divided against itself cannot stand	["Failure%20is%20certain%20if%20those%20on%20the%20same%20side%20argue%20amongst%20themselves."]	["The%20Tory%20party%20can%E2%80%99t%20stop%20arguing%20over%20Europe.%20Don%E2%80%99t%20they%20know%20that%20a%20house%20divided%20cannot%20stand."]	Biblical.	Widespread but uncommon. Rather formal for everyday speech.	https://www.phrases.org.uk/idioms/audio/a-house-divided-against-itself-cannot-stand.mp3	family,biblical,proverbial,adage	a house divided against itself cannot stand
a jack of all trades	["If%20you%27re%20a%20jack%20of%20all%20trades%2C%20you%20have%20many%20skills%20and%20can%20do%20many%20different%20jobs.",""]	["Jivad%27s%20a%20real%20jack%20of%20all%20trades.%20He%20knows%20all%20about%20computers%2C%20can%20do%20graphic%20design%20and%20write%20advertising%20copy%2C%20and%20knows%20a%20lot%20of%20other%20stuff%20too.","She%20became%20a%20jack%20of%20all%20trades%20because%20she%20was%20interested%20in%20learning%20about%20so%20many%20different%20things."]				j	a jack of all trades
a jam session	["If%20musicians%20play%20in%20a%20jam%20session%2C%20they%20play%20whatever%20they%20feel%20like%20playing%20in%20an%20informal%20setting.",""]	["I%20have%20wonderful%20memories%20of%20joining%20in%20late-night%20jam%20sessions%20in%20New%20York%20jazz%20clubs%20with%20some%20really%20great%20musicians.","Why%20don%27t%20you%20come%20over%20on%20Sunday%20and%20have%20a%20jam%20session%20with%20me%20and%20the%20band%3F"]				j,music	a jam session
